PoolID,Id_code,Time_Point,Foundation_spp,Before_After,Removal_Control,Day_Night,Group,TADeltaTime,DICDeltaTime,DeltaTime,DeltaNN,DeltaNH4,DeltaPO,DeltapH,DeltapCO2,DeltaDO,SurfaceArea,Vol,SAtoV,TideHeight,SamplingVolume,AdjSamplingVolume,DeltaTA_N_Norm,NEC.mmol.m2.hr,Tempmean,pCO2mean,Salinitymean,Windmean,pHmean,DOmean,NNmean,NH4mean,POmean,K,dpCO2,a,F_CO2,NEP.mmol.m2.hr
11,N_11_4_BC,4,Mytilus,Before,Removal,Night,Before_Removal,80.30086057,-84.07817159,0.883333333,-0.037864,6.09807,0.619872,-0.010777501,123.8767371,-0.18,1.062,0.117053419,9.072780656,1.673113001,0.115703419,0.115703419,-85.19705057,-5.374861237,15.1,1931.387226,33.3,4.75,7.382439141,2.68,1.949996,18.571395,1.459282,6.146785116,1520.527226,0.037702668,3.523824832,-8.757511715
12,D_12_4_AI,4,Mytilus,After,Control,Day,After_Control,-67.68489626,116.6505048,1.066666667,-1.8023264,0.221748,-0.290565,0.131101751,-189.9517541,1.58,2.552,0.231796657,11.00964974,1.333388001,0.230446657,0.230446657,65.07969186,2.818072384,14.2,514.1905367,34.7,0.35,7.890309233,13.85,7.1260048,11.198274,2.1856945,0.032573877,103.3305367,0.03844905,0.001294147,7.283003558
12,N_12_4_AI,4,Mytilus,After,Control,Night,After_Control,19.25608004,-31.89472281,1.133333333,-0.719416,-1.773984,0.025828,-0.035035986,220.622425,0.83,2.552,0.231796657,11.00964974,1.333388001,0.230446657,0.230411657,-18.14985604,-0.739579623,10.75,2507.094032,35.5,0.3,7.27463009,1.815,6.6375592,19.846446,2.240579,0.021728016,2096.234032,0.042690137,0.01944408,-1.879189434
12,D_12_4_BC,4,Mytilus,Before,Control,Day,Before_Control,-33.13565354,59.37071853,1.116666667,0.8405808,-0.997866,0.264737,0.008167793,-15.43160054,-0.08,2.552,0.231796657,11.00964974,1.333388001,0.230446657,0.230446657,35.50357434,1.46853366,19.05,333.7548118,34.65,0.55,8.034291582,11.72,3.0783432,12.916821,1.6239355,0.091205056,-77.10518817,0.033342358,-0.002344762,3.445310872
12,D_12_5_BC,5,Mytilus,Before,Control,Day,Before_Control,-68.35239711,72.81618869,1.066666667,4.9829024,8.426424,0.639243,-0.0270205,10.69648598,1.66,2.552,0.231796657,11.00964974,1.333388001,0.230046657,0.230046657,66.18736151,2.861061801,22.55,331.3872545,34.65,1.3,8.024865228,12.51,5.9900848,16.6311,2.0759255,0.554374837,-79.47274545,0.030303187,-0.013350884,3.447497449
12,N_12_4_BC,4,Mytilus,Before,Control,Night,Before_Control,-58.12270898,54.05651493,0.883333333,-0.8027168,-1.219614,-0.058113,-0.019073682,51.85452894,0.94,2.552,0.231796657,11.00964974,1.333388001,0.230446657,0.230446657,58.42338018,3.05490311,15.15,1809.718526,33.35,4.75,7.415220464,3.6,2.6807712,14.358183,1.0557195,6.15499172,1398.858526,0.037635127,3.240370346,-0.642145716
13,D_13_4_AI,4,Mytilus,After,Control,Day,After_Control,-71.18436217,92.32550105,1.05,-0.681552,0.332622,0.06457,0.055376896,-126.4481656,1.42,4.16,0.277221869,15.00603112,1.177813001,0.275871869,0.275871869,70.29932817,2.271023357,14.35,741.0407902,34.75,0.35,7.742180162,11.45,9.27668,17.130033,2.64737,0.032706703,330.1807902,0.038261782,0.004131938,3.69000468
13,N_13_4_AI,4,Mytilus,After,Control,Night,After_Control,26.06332958,-40.07911194,1.116666667,0.0908736,-1.773984,0.096855,-0.037149128,259.555527,-0.12,4.16,0.277221869,15.00603112,1.177813001,0.275871869,0.275871869,-24.00476198,-0.729178033,10.55,2539.246592,35.5,0.2,7.272269415,1.5,5.9370752,26.720634,2.6764265,0.009601419,2128.386592,0.042969746,0.008781096,-1.714520606
13,D_13_4_BC,4,Mytilus,Before,Control,Day,Before_Control,-24.21931638,12.45700501,1.066666667,1.7493168,7.76118,0.535931,-0.08871515,322.1335029,-0.99,4.16,0.277221869,15.00603112,1.177813001,0.275871869,0.275871869,19.27931518,0.613087703,18.35,1560.122483,35.25,0.55,7.437673103,7.125,7.3796936,29.270736,2.5795715,0.089632005,1149.262483,0.033899467,0.034920078,0.144264819
13,D_13_5_BC,5,Mytilus,Before,Control,Day,Before_Control,-24.58928975,-3.642127954,0.966666667,3.332032,13.637502,0.187253,-0.11958421,552.1670378,-0.76,4.16,0.277221869,15.00603112,1.177813001,0.275471869,0.275471869,14.65832575,0.513614398,20.05,1997.272753,36.15,1.3,7.333523423,6.25,9.920368,39.970077,2.9411635,0.522173494,1586.412753,0.032162006,0.266424494,-1.035272591
13,N_13_4_BC,4,Mytilus,Before,Control,Night,Before_Control,-47.26132484,38.22281249,0.883333333,0.1211648,-5.432826,0.109769,-0.032639497,186.1641903,0.64,4.16,0.277221869,15.00603112,1.177813001,0.275871869,0.275871869,53.03485364,2.036556583,15.1,1958.328625,33.3,4.75,7.381979553,2.76,2.4157232,17.351781,1.2300585,6.146785116,1547.468625,0.037702668,3.586261579,-2.687279924
14,D_14_4_AI,4,Mytilus,After,Control,Day,After_Control,61.3284231,-55.15152473,1,-4.316496,-3.88059,-0.781297,0.012934851,-63.46909152,0.56,0.583,0.043557393,13.38463944,0.904763001,0.042207393,0.042207393,-63.3269231,-2.345060214,13.35,1721.620088,35.05,0.4,7.448581694,6.69,11.245608,19.125765,2.7216255,0.041566592,1310.760088,0.039395905,0.021464398,-1.761038019
14,N_14_4_AI,4,Mytilus,After,Control,Night,After_Control,118.8619036,-137.0373758,1.066666667,-3.0897024,-7.872054,-0.949179,-0.039576429,358.753679,0.48,0.583,0.043557393,13.38463944,0.904763001,0.042207393,0.042207393,-115.97791,-4.026355949,10.8,2447.946124,35.55,0.2,7.309570964,1.16,5.035912,24.115095,2.5150015,0.009670791,2037.086124,0.042608459,0.008393967,-5.496975014
14,D_14_4_BC,4,Mytilus,Before,Control,Day,Before_Control,-23.33258204,17.81115745,1.05,5.8083376,12.528762,1.207459,-0.047965961,186.6022938,-0.4,0.583,0.043557393,13.38463944,0.904763001,0.042207393,0.042207393,19.02707564,0.67103992,15.05,1498.145531,36.65,0.55,7.507051333,6.23,9.5909512,22.562859,3.0057335,0.082301201,1087.285531,0.037059069,0.033162272,0.552112534
14,D_14_5_BC,5,Mytilus,Before,Control,Day,Before_Control,-16.99116476,8.411308678,0.866666667,-1.8932,3.991464,-0.426162,-0.073390037,382.8783293,1.77,0.583,0.043557393,13.38463944,0.904763001,0.041807393,0.041807393,10.25417676,0.433989154,18.8,1782.885842,35.35,0.8,7.446373334,6.915,11.54852,30.822972,3.396382,0.191772434,1372.025842,0.033450669,0.088014308,0.189982849
14,N_14_4_BC,4,Mytilus,Before,Control,Night,Before_Control,-7.404137194,-2.698346101,0.866666667,-1.3025216,-8.759046,-0.587587,-0.031024229,188.9437358,-1.74,0.583,0.043557393,13.38463944,0.904763001,0.042207393,0.042207393,13.68548759,0.584754797,15.05,2076.88499,33.3,4.75,7.365307857,2.73,2.8246544,18.904017,1.2946285,6.138581345,1666.02499,0.037759828,3.861708877,-4.677054045
15,D_15_4_AI,4,Mytilus,After,Removal,Day,After_Removal,-27.67579409,194.5227073,1,-1.3176672,-0.055437,0.019371,0.212700215,-40.92123968,-0.49,1.504,0.108999648,13.79820971,0.879363001,0.107649648,0.107649648,26.45230589,0.968442749,14.4,55.20271282,34.85,0.4,8.67590333,31.265,2.0598016,2.5223835,1.6497635,0.042776834,-355.6572872,0.038181802,-0.005808938,13.2806693
15,N_15_4_AI,4,Mytilus,After,Removal,Night,After_Removal,0.24285357,-19.28802224,1.066666667,-1.1283472,-1.8959454,-0.355135,-0.057519763,260.6535726,-0.45,1.504,0.108999648,13.79820971,0.879363001,0.107649648,0.107649648,-0.18552537,-0.006367735,10.5,1906.004249,35.55,0.45,7.401873066,2.415,2.6921304,4.7842131,1.0880045,0.048537104,1495.144249,0.043027736,0.031225216,-1.348892237
15,D_15_4_BC,4,Mytilus,Before,Removal,Day,Before_Removal,5.156045932,-38.19050605,1.033333333,1.2419392,2.882724,0.400334,-0.119102116,132.4219811,-1.36,1.07,0.072106249,14.83921315,0.879363001,0.070756249,0.070756249,-5.996162732,-0.196272581,18.4,451.9326124,35.05,0.55,7.940340594,8.47,3.066984,13.083132,1.439911,0.089744138,41.07261238,0.033888242,0.001249129,-2.305158595
15,D_15_5_BC,5,Mytilus,Before,Removal,Day,Before_Removal,-98.89003632,-39.06215218,0.866666667,-1.7720352,-5.155641,-0.677985,-0.410122186,858.5713238,1.41,1.07,0.072106249,14.83921315,0.879363001,0.070356249,0.070356249,100.9176721,3.916333514,18.5,947.4292648,35.35,0.8,7.675728443,8.495,2.801936,11.9466735,1.3010855,0.190346587,536.5692648,0.033736503,0.034456483,-6.982576452
15,N_15_4_BC,4,Mytilus,Before,Removal,Night,Before_Removal,48.66075102,-57.77203052,0.85,-0.227184,1.5189738,-2.879822,-0.019455115,122.2863742,-0.32,1.07,0.072106249,14.83921315,0.879363001,0.070756249,0.070756249,-56.16655282,-2.235041066,15.05,1797.972896,33.3,4.5,7.430468114,3.06,0.8784448,7.9219473,2.563429,5.509419268,1387.112896,0.037759828,2.88567646,-5.248491385
16,D_16_4_AI,4,Mytilus,After,Removal,Day,After_Removal,70.68062468,-51.60629097,1.016666667,1.438832,1.6963722,0.380963,0.025967212,-33.28236073,0.57,7.54,0.868831169,8.678325859,1.771538001,0.867481169,0.867481169,-70.17623888,-4.06205549,14.2,682.5157162,34.75,0.4,7.809421136,9.665,16.243656,6.0592641,1.7207905,0.042545472,271.6557162,0.038438246,0.004442585,-1.916706064
16,N_16_4_AI,4,Mytilus,After,Removal,Night,After_Removal,-2.662638841,-13.87381474,0.933333333,3.899992,-3.0712098,-0.749012,-0.052794196,197.2847661,0.27,7.54,0.868831169,8.678325859,1.771538001,0.867481169,0.867481169,8.135816641,0.512977981,10.75,1584.387934,35.5,0.5,7.460516505,3.455,11.681044,10.1061651,1.736933,0.0603556,1173.527934,0.042690137,0.03023699,-2.292753286
16,D_16_4_BC,4,Mytilus,Before,Removal,Day,Before_Removal,-44.02767439,26.13716005,1.05,3.59708,4.102338,0.852324,-0.092567214,261.8295357,-1.04,6.88,0.669,10.28400598,1.771538001,0.66765,0.66765,45.22706439,2.138036689,18.2,1225.139674,34.75,0.4,7.528688629,7.25,16.906276,16.908285,1.672363,0.047230841,814.2796736,0.034138376,0.013129317,0.320018356
16,D_16_5_BC,5,Mytilus,Before,Removal,Day,Before_Removal,261.0257426,-264.5298452,1.1,4.581544,3.104472,0.148511,-0.042817831,405.0370274,-0.63,6.88,0.669,10.28400598,1.771538001,0.66725,0.66725,-259.2516486,-11.69161818,20.35,1558.572955,34.8,1.25,7.460996106,6.415,20.995588,20.51169,2.1727805,0.486301814,1147.712955,0.032130514,0.179331608,-12.34701741
16,N_16_4_BC,4,Mytilus,Before,Removal,Night,Before_Removal,80.70449641,-69.70280669,0.866666667,0.6701928,5.987196,-0.019371,0.043288118,-155.0693116,0.59,6.88,0.669,10.28400598,1.771538001,0.66765,0.66765,-86.06024161,-4.928973928,15.2,1863.805063,33.3,4.75,7.397879199,3.445,3.8299436,19.070328,1.1654885,6.163201132,1452.945063,0.037588757,3.365995214,-6.421273025
17,D_17_4_AI,4,Mytilus,After,Removal,Day,After_Removal,-18.16522444,100.2467884,1.066666667,-0.0984464,0.8759046,0.832953,0.133341231,-79.77567692,2.71,1.453,0.100739305,14.42336736,1.086199,0.099389305,0.099389305,18.85677944,0.618526732,14.9,204.0176906,35.1,0.85,8.240325266,19.905,3.5099928,8.1215205,2.3729475,0.195783083,-206.8423094,0.037551897,-0.015207101,5.973128758
17,N_17_4_AI,4,Mytilus,After,Removal,Night,After_Removal,11.20518968,-40.33832866,1.85,3.0897024,8.1159768,1.136432,-0.096776441,517.1890013,-0.41,1.453,0.100739305,14.42336736,1.086199,0.099389305,0.099389305,-13.95860008,-0.26399142,12,2170.006331,35.65,0.5,7.353334587,1.435,5.641736,11.2426236,2.13081,0.062545132,1759.146331,0.040969068,0.045076643,-1.306879015
17,D_17_4_BC,4,Mytilus,Before,Removal,Day,Before_Removal,-122.7553454,100.748459,1.066666667,1.8704816,10.1671458,1.020206,-0.048671682,27.07447987,-0.57,1.107,0.081507918,13.58150268,1.086199,0.080157918,0.080007918,116.4990932,4.03761407,17.1,399.7821817,34.35,3.65,7.947690888,10.125,2.2680536,14.0976291,1.446368,3.824507026,-11.0778183,0.035318905,-0.014963629,2.960809849
17,D_17_5_BC,5,Mytilus,Before,Removal,Day,Before_Removal,-90.47709917,-42.73222682,0.966666667,0.8178624,2.660976,0.439076,-0.479346833,914.7026114,-0.41,1.107,0.081507918,13.58150268,1.086199,0.079757918,0.079757918,89.51213757,3.412534167,17.45,870.6707274,34,3,7.68368163,9.635,3.6122256,20.51169,2.176009,2.606850304,459.8107274,0.035028359,0.41987014,-7.090625772
17,N_17_4_BC,4,Mytilus,Before,Removal,Night,Before_Removal,95.77115089,-115.1774896,1.033333333,-0.39302832,1.66311,-0.161425,-0.05218684,410.14629,0.83,1.107,0.081507918,13.58150268,1.086199,0.080157918,0.080157918,-98.15013921,-3.517992618,14.6,2486.371394,33.5,4.65,7.32005728,2.945,0.85610504,30.324039,2.7345395,5.812203834,2075.511394,0.038237567,4.61271065,-9.351324929
18,D_18_4_AI,4,Phyllospadix,After,Control,Day,After_Control,-45.38626323,79.00770055,1.083333333,-1.0071824,1.4746242,-0.103312,0.086358965,-195.3844216,1.33,5.038,0.361621622,13.93168909,1.615963001,0.360271622,0.360271622,42.69783263,1.441654704,14.4,843.771111,35.7,0.7,7.733141468,8.735,4.6231944,9.2746101,1.510938,0.131004055,432.911111,0.038000032,0.021551,3.872045111
18,N_18_4_AI,4,Phyllospadix,After,Control,Night,After_Control,20.23860865,-45.25258765,1.85,-0.719416,0.3769716,-0.038742,-0.079959924,442.2692601,-0.94,5.038,0.361621622,13.93168909,1.615963001,0.360271622,0.360271622,-21.41248025,-0.423362879,12.3,2217.546308,35.65,0.5,7.337766875,1.62,4.2597,8.7368712,1.35597,0.063075923,1806.686308,0.040580046,0.046244373,-1.412330038
18,D_18_4_BC,4,Phyllospadix,Before,Control,Day,Before_Control,-14.16192903,3.901132543,1.033333333,0.0454368,0.8204676,0.058113,-0.035405776,38.51156997,-0.14,5.038,0.361621622,13.93168909,1.615963001,0.360271622,0.360231622,13.50312423,0.477928723,15.75,470.1209076,34.75,3.55,7.947506411,9.44,1.2267936,8.8477452,1.1525745,3.493054618,59.26090756,0.036674602,0.075917008,-0.277692855
18,D_18_5_BC,5,Phyllospadix,Before,Control,Day,Before_Control,-41.70802036,18.52404545,1.1,0.0833008,5.931759,0.251823,-0.060055243,72.07665719,-0.73,5.038,0.361621622,13.93168909,1.615963001,0.359871622,0.359871622,36.36320816,1.20782658,16.2,525.4150211,34.8,2.75,7.899775901,9.005,1.2911624,12.2238585,1.3075425,2.121001007,114.5550211,0.036176491,0.087898496,-0.06514969
18,N_18_4_BC,4,Phyllospadix,Before,Control,Night,Before_Control,19.06166715,-35.82165532,1,-0.0151456,2.328354,0.090398,-0.059455398,277.5743791,-0.25,5.038,0.361621622,13.93168909,1.615963001,0.360271622,0.360271622,-21.22437075,-0.776340696,14.7,1802.512918,33.4,4.9,7.418409272,3.865,0.8254352,13.360317,0.981464,6.47137889,1391.652918,0.038142421,3.435073379,-5.279287059
18,N_18_5_BC,5,Phyllospadix,Before,Control,Night,Before_Control,14.45919809,-23.67105582,1,0.2953392,1.66311,-0.019371,-0.030960468,168.321555,-0.04,5.038,0.361621622,13.93168909,1.615963001,0.359871622,0.359871622,-15.86571089,-0.579688403,14.7,2025.460885,33.4,4.15,7.373201339,3.72,0.965532,15.356049,1.0169775,4.641954308,1614.600885,0.038142421,2.858737666,-4.008796721
19,D_19_4_AI,4,Mytilus,After,Control,Day,After_Control,-48.73546743,84.05680447,1.083333333,-0.530096,1.884858,0.232452,0.10222553,-231.5297449,0.93,5.4395,0.649514563,8.374715994,1.070324,0.648164563,0.648164563,46.78541743,2.632208836,13.45,834.0385049,35.55,0.85,7.721955733,11.295,7.989304,13.803813,2.479488,0.188217398,423.1785049,0.039162712,0.031192927,6.794889971
19,N_19_4_AI,4,Mytilus,After,Control,Night,After_Control,9.596818095,-29.90884099,1.85,-2.0295104,4.0690758,0.012914,-0.062092346,334.3572683,-0.29,5.4395,0.649514563,8.374715994,1.070324,0.648164563,0.648164563,-15.6695763,-0.51624691,11.75,2298.577555,35.7,0.45,7.336967277,1.065,5.263096,12.7117041,2.137267,0.050304481,1887.717555,0.041285899,0.039205359,-1.493700535
19,D_19_4_BC,4,Mytilus,Before,Control,Day,Before_Control,-79.10120593,66.21134901,1.083333333,0.908736,1.10874,0.684442,-0.032279619,23.41930568,0.15,5.4395,0.649514563,8.374715994,1.070324,0.648164563,0.648164563,80.27008593,4.516100124,15.55,476.5729332,34.6,3.7,7.920964814,10.035,3.0442656,12.972258,1.704648,3.774492218,65.71293318,0.036925757,0.091588046,2.842586189
19,D_19_5_BC,5,Mytilus,Before,Control,Day,Before_Control,-121.7224589,93.9891985,0.983333333,1.1132016,6.09807,-0.251823,-0.068489549,57.74562259,-0.3,5.4395,0.649514563,8.374715994,1.070324,0.647764563,0.647764563,116.2339445,7.200059039,15.9,517.1553973,34.55,3.05,7.87058023,9.96,4.0552344,16.575663,1.9209575,2.588585287,106.2953973,0.036551391,0.100572871,4.343604739
19,N_19_4_BC,4,Mytilus,Before,Control,Night,Before_Control,100.6844731,-125.4329052,1.016666667,-0.9996096,0.776118,0.051656,-0.070084138,492.6172473,0.06,5.4395,0.649514563,8.374715994,1.070324,0.648164563,0.648164563,-102.3568887,-6.136354374,14.5,2404.505272,33.4,4.65,7.345058187,3.1,3.02912,37.530849,3.002505,5.796539918,1993.645272,0.038376169,4.434843846,-13.33803915
19,N_19_5_BC,5,Mytilus,Before,Control,Night,Before_Control,218.4377401,-249.9339667,0.866666667,-0.8102896,4.656708,0.891066,-0.069141156,787.8758667,0.03,5.4395,0.649514563,8.374715994,1.070324,0.647764563,0.647764563,-222.1226057,-15.61149552,14.5,3044.751829,33.45,4.25,7.27544554,3.145,2.1241704,40.247262,3.473866,4.842178392,2633.891829,0.038365404,4.893037,-24.41387742
2,D_2_4_AI,4,Phyllospadix,After,Removal,Day,After_Removal,-50.08160626,179.1737536,0.966666667,1.8326176,1.5633234,-0.032285,0.222655182,-130.4845332,1.4,2.486,0.255762679,9.719948239,0.940149,0.254412679,0.254412679,50.28633046,2.723055334,12.9,202.5884056,34.85,0.7,8.278807182,19.92,4.5891168,4.5292029,1.3785695,0.125720304,-208.2715944,0.039999794,-0.010473533,16.69229587
2,N_2_4_AI,4,Phyllospadix,After,Removal,Night,After_Removal,20.30219915,-59.38908413,1.116666667,-0.4846592,-0.9756912,-0.058113,-0.131690581,424.2032793,-0.94,2.486,0.255762679,9.719948239,0.940149,0.254412679,0.253912679,-19.92739315,-0.93230033,11,1293.541472,35.45,0.65,7.577113207,3.13,1.2949488,3.7808034,0.7651545,0.102735899,882.6814718,0.042356638,0.038410301,-4.663130132
2,D_2_4_BC,4,Phyllospadix,Before,Removal,Day,Before_Removal,-82.75430277,205.7784015,1.333333333,0.056796,0.3658842,-0.025828,0.151765219,-62.16407286,2.67,1.985,0.20528925,9.669283708,0.940149,0.20393925,0.20393925,82.39355857,3.247435011,15.75,116.2439858,35.1,0.15,8.453443453,14.595,0.41991176,4.0302699,0.800668,0.00623636,-294.6160142,0.036603207,-0.000672522,12.97421393
2,D_2_5_BC,5,Phyllospadix,Before,Removal,Day,Before_Removal,48.49178851,7.798531462,0.766666667,0.1098056,1.6963722,0.297022,0.037385374,-11.1713761,-1.1,1.985,0.20528925,9.669283708,0.940149,0.20353925,0.20353925,-49.48431111,-3.385277262,18,79.57626135,35.15,0.25,8.548018749,15.38,0.50321256,5.0613981,0.936265,0.018357025,-331.2837386,0.034259406,-0.002083446,4.454373287
2,N_2_4_BC,4,Phyllospadix,Before,Removal,Night,Before_Removal,43.56908779,-76.33165653,0.85,-0.11207744,0.0221748,0.006457,-0.115854214,302.0920353,-0.84,1.985,0.20528925,9.669283708,0.940149,0.20393925,0.20393925,-43.69042603,-2.701178589,15.35,991.5312269,33.1,5,7.680651268,3.87,0.1779608,5.876322,0.6618425,6.85633903,580.6712269,0.0374607,1.491414918,-8.228708553
20,D_20_4_AI,4,Phyllospadix,After,Control,Day,After_Control,19.10417122,20.66642101,1.083333333,-1.0299008,1.3194006,0.12914,0.092681904,-135.8295248,-2,4.6465,0.355851064,13.057429,1.006824,0.354501064,0.354501064,-21.19519262,-0.763506082,12.85,584.8826494,35.7,0.6,7.907004903,12.25,3.6046528,5.8375161,1.336599,0.092237502,174.0226494,0.039870237,0.006399737,2.246023046
20,N_20_4_AI,4,Phyllospadix,After,Control,Night,After_Control,-35.05472274,-17.43768149,2.566666667,-0.3937856,0.9535164,0.012914,-0.17171667,764.3011752,-1.89,4.6465,0.355851064,13.057429,1.006824,0.354501064,0.354501064,33.73324874,0.512892015,11.6,1927.046222,35.75,1,7.42160854,1.905,4.1574672,2.9825106,1.278486,0.247361881,1516.186222,0.041473113,0.155543533,-1.198692663
