pool_id,foundation_spp,day_night,sampling_group,before_after,removal_control,group,time_point,sampling_day,sampling_time,do_mg_l,salinity,temp_pool,po_umol_l,nn_umol_l,nh4_umol_l,ph,dic,alk,omega_aragonite,heterotrophic_bacterioplankton_m_l,synechoococcus_m_l,autotrophic_pico_eukaryotes_m_l,m_c,bix,hix,fi,ultra_violet_humic_like,marine_humic_like,visible_humic_like,tryptophan_like,tyrosine_like,phenylalanine_like
20,Phyllospadix,Day,2,Before,Control,Before_Control,5,7/9/2019,14:22:00,17.84,34.8,15.7,1.323685,1.060192,7.6835682,8.449533897,1554.26013,1978.907101,4.194804112,537.99,0.67,0.43,1.279375599,0.98098192,0.858291297,1.269768612,0.077834894,0.094384341,0.073773754,0.272482838,0.155166778,0.062576998
21,Phyllospadix,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:19:00,10.98,34.2,17.4,1.188088,3.1957216,11.752644,8.294781684,1688.73099,2035.0983,3.54629382,395.23,0.4,0.13,1.119865988,1.105383532,1.540713961,1.78492887,0.165829767,0.213955392,0.19105446,0.32677126,0.252391752,0.059265504
22,Phyllospadix,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:23:00,11.76,34.6,16.9,1.911272,3.937856,11.198274,7.550845076,2224.559271,2264.693856,0.918284724,677.8,0.67,0.53,1.083914268,1.088493851,1.341266263,1.868130622,0.174569227,0.209997738,0.193740173,0.450954667,0.217874543,0.092850215
23,Mytilus,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:52:00,8.27,32.5,17.3,1.465739,9.390272,18.626832,7.510283041,1567.429242,1591.106515,0.576322744,387.75,11.5,0.93,1.021788524,0.81221954,0.770378856,1.704094495,0.111132896,0.126950619,0.124243536,0.606691987,0.505374316,0.141899515
24,Mytilus,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:56:00,8.27,33.3,16.4,2.305149,4.733,34.592688,7.615593277,1747.843988,1797.974092,0.800810268,263.83,21.88,0.4,0.74067422,0.80630475,1.308392626,1.389946124,0.16580671,0.147889725,0.199669059,0.690725945,0.274454839,0.10822607
25,Mytilus,Day,2,Before,Control,Before_Control,5,7/9/2019,14:58:00,5.38,34.5,15.1,3.364097,6.3157152,25.833642,7.421506391,2034.918625,2032.224082,0.577717089,433.39,2.91,2.72,1.252646954,1.18323809,1.281993803,1.762253606,0.080891874,0.110983617,0.088599279,0.191251521,0.104749899,0.043270491
26,Phyllospadix,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:32:00,9.81,34.2,14.1,0.955636,1.6963072,4.3906104,8.220263269,1932.143157,2224.476872,3.089055255,1341.97,3.86,1.52,1.03063337,0.560968134,2.175122113,2.235070757,0.21330506,0.206355586,0.200222108,0.21567351,0.13787607,0.059127197
27,Phyllospadix,Day,2,Before,Control,Before_Control,5,7/9/2019,14:34:00,8.71,33.9,14.6,1.252658,1.0299008,7.6724808,8.224120324,1858.539313,2148.54289,3.036465033,879.75,69.78,2.65,1.465862993,1.24368067,1.373206019,1.853151762,0.443928127,0.550391445,0.375472638,1.427800428,0.901744847,0.262887139
28,Phyllospadix,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:36:00,12.23,34,14.9,0.684442,0.8102896,2.3172666,8.378145547,1769.460219,2155.692324,3.99704211,1251.33,3.01,1.12,1.319981318,0.689780073,0.898918683,1.216241042,0.081924398,0.089678957,0.067939566,0.213367883,0.114252942,0.043662527
29,Phyllospadix,Day,2,Before,Control,Before_Control,5,7/9/2019,14:37:00,15.07,33.7,17.6,1.4883385,0.9352408,5.1611847,8.4535243349999991,1646.457829,2102.301706,4.705722152,639.28,92.15,5.61,1.062610915,0.885349,1.557744669,1.686729349,0.094279661,0.109413472,0.102966637,0.190468267,0.117354208,0.064635169
30,Mytilus,Day,2,Before,Control,Before_Control,5,7/9/2019,14:48:00,6.29,33.8,15.6,3.512608,13.403856,29.93598,7.523325905,1917.705767,1943.792772,0.6947571,312.02,0.48,0.21,1.081563293,0.930250602,1.558926484,1.682702493,0.096990851,0.108491301,0.100309711,0.214685328,0.136511532,0.044945489
31,Mytilus,Day,2,Before,Control,Before_Control,5,7/9/2019,14:47:00,8.03,33.5,16.4,2.931478,8.784448,25.722768,7.444076995,2012.811918,2018.45517,0.623732088,180.76,14.99,1.03,1.002848835,0.879305547,1.235375841,1.730610239,0.069375265,0.074969664,0.074756695,0.16823169599999999,0.115723015,0.030302531
32,Mytilus,Day,2,Before,Removal,Before_Removal,5,7/9/2019,14:49:00,6.62,34.5,15.1,2.460117,8.254352,20.068194,7.538337468,1909.002196,1938.032516,0.710468043,281.94,5.92,0.39,0.860256768,1.000729946,1.580483522,1.518681944,0.070610915,0.077664518,0.090280624,0.234883129,0.141498029,0.035719185
Ocean,Ocean,Night,2,Before,Ocean,Before_Ocean,1,7/12/2019,01:17:00,8.06,33.2,15.2,0.6108322,0.53842608,7.5172572,7.97335645,1999.02192,2169.269149,1.936686169,1353.55,13.4,3.01,1.156209098,0.988504384,0.535177806,1.58385929,0.033583959,0.038270116,0.03309965,0.157656334,0.180126446,0.046388004
1,Phyllospadix,Night,2,Before,Control,Before_Control,1,7/12/2019,01:27:00,6.19,33.1,15.5,0.4364932,0.29420328,7.6281312,7.9872855,1949.09145,2123.929468,1.96573557,1305.04,10.48,2,1.169440839,0.935173721,0.773582031,1.619540449,0.047475299,0.054811973,0.046870241,0.152183644,0.159603933,0.052378855
2,Phyllospadix,Night,2,Before,Removal,Before_Removal,1,7/12/2019,01:29:00,6.41,33.1,15.4,0.4816922,0.17493168,3.8362404,8.012734064,1938.720404,2123.699628,2.058130413,1278.62,10.26,2.08,1.27022176,1.06250014,0.845678055,1.647892346,0.054102201,0.067541043,0.053172639,0.14760631,0.092275031,0.044102134
3,Phyllospadix,Night,2,Before,Removal,Before_Removal,1,7/12/2019,01:30:00,6.37,33.1,15.4,0.5527192,0.8027168,8.7701334,7.99475175,2004.653011,2185.457056,2.046823806,1257.8,10.77,2.02,1.37053109,1.189159486,1.035795458,1.237894161,0.047053071,0.061432137,0.0448236,0.148899417,0.084068876,0.046880966
4,Phyllospadix,Night,2,Before,Control,Before_Control,1,7/12/2019,01:32:00,5.26,33.1,15.5,0.3435124,0.45663984,4.2797364,7.896163018,2047.457297,2188.913993,1.691688689,1125.68,8.01,1.75,1.167873983,1.017723649,0.45053812,1.07262635,0.057709695,0.071589582,0.061299064,0.26918432,0.318904323,0.069704559
5,Phyllospadix,Night,2,Before,Control,Before_Control,1,7/12/2019,01:33:00,4.28,33.1,15.5,0.5243084,0.60279488,6.5083038,7.77303172,2182.188606,2282.149326,1.37129776,1123.92,5.95,1,1.201739874,0.993907317,0.657810754,1.191449046,0.064386475,0.080536388,0.06701649,0.23096985,0.216944461,0.078410482
6,Phyllospadix,Night,2,Before,Removal,Before_Removal,1,7/12/2019,01:34:00,3.17,33.1,15.5,0.3945227,0.5755328,7.3065966,7.700236577,2195.902059,2271.047193,1.171323373,938.1,4.61,1.03,1.101363343,0.994062164,1.436033198,1.685654376,0.068572533,0.084356003,0.076592346,0.132959232,0.16310578,0.022122756
7,Phyllospadix,Night,2,Before,Removal,Before_Removal,1,7/12/2019,01:43:00,6.71,33,15.3,0.665071,0.8481536,7.5726942,7.919048063,2047.412412,2196.752673,1.761821807,1651.01,14.21,2.21,1.211735341,0.996522742,0.793446015,1.445156808,0.054290293,0.066742858,0.055080392,0.192494445,0.179745471,0.051337188
8,Phyllospadix,Night,2,Before,Control,Before_Control,1,7/12/2019,01:44:00,5.23,33.3,15.2,1.0169775,0.3010188,17.73984,7.820637854,2063.997562,2177.325503,1.430753034,1254.78,11.76,1.75,1.175579737,1.157504146,0.744648206,1.184979021,0.066524188,0.085279617,0.072542606,0.214233996,0.198588415,0.086273368
9,Mytilus,Night,2,Before,Control,Before_Control,1,7/12/2019,01:48:00,3.61,33.3,15.1,0.6250376,1.022328,10.754778,7.56227154,2015.8673,2046.620063,0.775386821,921.64,7,0.3,0.998884556,0.992686508,0.989925093,1.794107333,0.057729696,0.069748605,0.069826493,0.213631418,0.258563184,0.083779911
10,Mytilus,Night,2,Before,Removal,Before_Removal,1,7/12/2019,01:50:00,2.96,33.3,15.1,1.046034,2.6201888,20.622564,7.506521057,2062.104333,2077.678797,0.697512568,1199.81,10.65,1.52,1.372311105,0.778602082,0.406137036,1.284302433,0.072431302,0.082740213,0.060292606,0.487058323,0.3271539,0.111230144
11,Mytilus,Night,2,Before,Removal,Before_Removal,1,7/12/2019,01:52:00,2.85,33.3,15.1,0.684442,2.4838784,25.057524,7.429287246,2034.871732,2028.98912,0.575288241,544.76,2.3,0.15,1.032382647,1.029295413,0.670571236,1.68556979,0.101824711,0.135852863,0.131591579,0.704887098,0.357553247,0.110684601
12,Mytilus,Night,2,Before,Control,Before_Control,1,7/12/2019,01:56:00,4.41,33.3,15.2,0.736098,1.7871808,16.6311,7.519681701,2017.309791,2036.741415,0.70631445,1113.9,6.22,2.23,1.168457126,1.386661996,0.910625308,1.893490256,0.107001979,0.160260728,0.137155848,0.583594508,0.305252236,0.064378187
13,Mytilus,Night,2,Before,Control,Before_Control,1,7/12/2019,01:58:00,4.11,33.3,15.1,0.975007,2.0673744,24.503154,7.507263907,2019.087549,2034.977173,0.684136117,975.34,5.49,0.29,1.161460454,1.061982063,0.405510137,1.262951726,0.057799001,0.070540728,0.060734507,0.494835287,0.513137944,0.14712265
14,Mytilus,Night,2,Before,Control,Before_Control,1,7/12/2019,01:59:00,3.75,33.3,15.1,1.000835,2.0219376,19.846446,7.447971139,2010.465843,2010.284343,0.593676403,692.18,4.55,0.3,0.961102462,0.559908492,0.528533568,2.329978589,0.253987179,0.26876088,0.279638114,0.751570738,0.442308081,0.124076539
15,Mytilus,Night,2,Before,Removal,Before_Removal,1,7/12/2019,02:01:00,4.5,33.3,15.1,0.865238,1.1132016,19.292076,7.534302464,2067.266853,2090.434763,0.745580228,1132.97,7.77,0.73,1.39178943,1.174726168,0.351857985,1.661504868,0.059163541,0.07672212,0.055124805,0.496959543,0.457178762,0.126350824
16,Mytilus,Night,2,Before,Removal,Before_Removal,1,7/12/2019,02:20:00,3.33,33.2,15.3,0.723184,3.6197984,15.965856,7.404667307,2066.827425,2054.186607,0.55517705,754.78,3.03,0.07,1.608988403,0.826772097,0.556849408,1.420536404,0.117252653,0.147943335,0.091948043,0.74426411,0.354797467,0.107359975
Ocean,Ocean,Night,1,Before,Ocean,Before_Ocean,1,7/11/2019,00:23:00,8.62,33.3,14.6,0,0.9011632,7.6724808,7.939074938,1994.192253,2145.748303,1.754120197,1479.06,17.21,2.72,1.251553855,0.920195736,1.175064005,1.535126759,0.030599992,0.035817062,0.028618075,0.078580445,0.061744933,0.026584967
17,Mytilus,Night,1,Before,Removal,Before_Removal,1,7/11/2019,01:19:00,7.31,33.3,14.6,1.362427,0.8784448,16.6311,7.45262364,2178.964851,2176.816014,0.637188595,764.06,5.56,0.26,0.99551539,1.176572943,1.022639589,1.854188001,0.17908756,0.247607341,0.248722766,0.739866085,0.393455403,0.133181138
18,Phyllospadix,Night,1,Before,Control,Before_Control,1,7/11/2019,01:26:00,5.13,33.4,14.7,0.6166435,1.0071824,7.9385784,7.621188945,2107.93383,2154.832639,0.914739052,2802.22,7.04,0.35,1.252116248,1.364832035,0.482471791,1.277271397,0.06604858,0.089914698,0.071810184,0.557780552,0.307065212,0.092422179
19,Mytilus,Night,1,Before,Control,Before_Control,1,7/11/2019,01:17:00,3.57,33.4,14.5,1.16226,1.4161136,29.048988,7.495008014,2118.375314,2128.565184,0.682054809,449.41,3.6,0.09,1.207466189,1.013206973,0.965493173,1.605022793,0.048152164,0.060382912,0.050007952,0.166560413,0.100258036,0.037967089
20,Phyllospadix,Night,1,Before,Control,Before_Control,1,7/11/2019,01:13:00,5.55,33.3,14.5,0.729641,0.42331952,5.5215252,7.852876595,2069.499963,2190.744102,1.498989029,1515.75,16.02,1.76,1.095765238,0.92558907,0.863811112,1.648284085,0.039553308,0.045654126,0.041664149,0.081752828,0.140866243,0.041208361
21,Phyllospadix,Night,1,Before,Removal,Before_Removal,1,7/11/2019,01:12:00,5.42,32.3,14.6,0.4681325,0.31199936,9.4575522,7.724013402,2145.394599,2220.411826,1.146691277,992.68,8.12,0.44,1.030460528,1.004103644,1.065918818,1.485053083,0.05378726,0.063438317,0.061563074,0.222755556,0.212433012,0.047481353
22,Phyllospadix,Night,1,Before,Removal,Before_Removal,1,7/11/2019,01:09:00,4.91,33.2,14.6,0.923351,0.13933952,11.863518,7.721253775,2166.84116,2245.056054,1.17111983,1888.17,14.68,2.04,1.119872219,0.845850247,1.190535814,1.592867682,0.053496174,0.064510671,0.057605385,0.107157662,0.117505319,0.034667083
23,Mytilus,Night,1,Before,Removal,Before_Removal,1,7/11/2019,01:04:00,3.35,33.2,14.6,0.761926,1.2343664,18.84858,7.375724838,1993.770794,1972.06649,0.486151114,1015.05,4.56,0.03,1.134528681,1.049850881,1.031134251,1.565580504,0.040684711,0.04849528,0.042744869,0.104035608,0.155199125,0.043231835
25,Mytilus,Night,1,Before,Control,Before_Control,1,7/11/2019,01:00:00,4.15,33.3,14.6,1.452825,2.1431024,29.159862,7.41063369,2096.886031,2083.921842,0.555959331,1064.16,3.83,0.23,1.380644732,1.538162359,0.672786565,2.062100832,0.117420551,0.193004844,0.139793272,0.5169195,0.349637869,0.105745416
26,Phyllospadix,Night,1,Before,Removal,Before_Removal,1,7/11/2019,00:55:00,6.71,33,14.6,0.06450543,1.173784,10.200408,7.923271048,2051.814459,2198.152245,1.733663157,1213.69,15.18,1.5,0.985796914,1.424140718,1.527534593,2.026629291,0.123951279,0.182250975,0.184876796,0.190511514,0.251910269,0.061466867
27,Phyllospadix,Night,1,Before,Control,Before_Control,1,7/11/2019,00:53:00,6.96,33.2,14.6,0.2944392,0.3180576,4.6788828,7.9570233,2027.998596,2188.475933,1.852010859,1610.81,17.51,2.06,1.243649216,0.91692416,0.845807196,1.191149311,0.052253376,0.060743949,0.048843314,0.149706755,0.090536116,0.037923725
28,Phyllospadix,Night,1,Before,Removal,Before_Removal,1,7/11/2019,00:50:00,5.83,33.2,14.6,0.4661954,0.40211568,2.8051122,7.842407232,2103.853228,2222.229872,1.491971826,1362.16,15.02,1.39,1.104325152,1.323495306,1.335482149,1.931169789,0.06783956,0.096128043,0.087046865,0.141078767,0.113327698,0.034799073
29,Phyllospadix,Night,1,Before,Control,Before_Control,1,7/11/2019,00:49:00,6.57,33.2,14.7,0.4423045,0,8.537298,7.850040862,2078.611925,2199.483038,1.505264824,1709.31,17.11,2.12,1.145979453,0.927249827,0.765883207,1.534713046,0.042646419,0.048920478,0.042688791,0.119856468,0.147860277,0.043458779
30,Mytilus,Night,1,Before,Control,Before_Control,1,7/11/2019,00:45:00,4.6,33.2,14.6,1.078319,3.21844,27.607626,7.586606468,2081.715043,2117.814089,0.828068859,907.79,9.06,0.28,1.275904679,1.056515459,0.33166784,1.133508387,0.064982751,0.084877683,0.06652353,0.652643747,0.436465621,0.182474236
31,Mytilus,Night,1,Before,Control,Before_Control,1,7/11/2019,00:43:00,3.03,33.2,14.6,1.188088,1.8704816,20.400816,7.466028719,2080.522618,2082.775832,0.626461512,942.83,5.21,0.1,1.074366691,1.056838681,0.441582477,1.310445591,0.061635483,0.078053089,0.072650325,0.753453236,0.440175925,0.108607197
32,Mytilus,Night,1,Before,Removal,Before_Removal,1,7/11/2019,00:42:00,3.65,33.2,14.6,1.000835,1.4842688,20.733438,7.475963264,2065.096232,2070.059219,0.636335172,1078.93,2.77,0.03,1.105165005,0.83921518,0.533805744,1.590507616,0.035339559,0.039884163,0.036088876,0.10918851,0.212117444,0.038344781
Ocean,Ocean,Night,2,Before,Ocean,Before_Ocean,4,7/12/2019,04:22:00,7.92,33.2,15.2,0.6282661,0.53463968,6.7854888,7.932091078,1990.893474,2143.293276,1.762467993,1189.81,8.43,2.26,1.22942234,0.854959835,0.540335308,1.532815279,0.040354643,0.046141715,0.037531216,0.154552378,0.268889002,0.051441368
1,Phyllospadix,Night,2,Before,Control,Before_Control,4,7/12/2019,04:31:00,3.64,33.1,15.3,0.6166435,0.4505816,8.093802,7.624196275,2129.495118,2179.055486,0.947992704,1418.03,8.02,1.56,1.055227973,0.974379104,0.853159514,1.30002924,0.055508566,0.064585956,0.06120569,0.206788904,0.205821176,0.045373815
2,Phyllospadix,Night,2,Before,Removal,Before_Removal,4,7/12/2019,04:33:00,3.45,33.1,15.3,0.665071,0.12192208,5.8874094,7.622724161,2142.649116,2191.928756,0.95064923,1834.2,7.85,1.3,1.210680369,0.990330919,0.778082922,1.56965386,0.052220108,0.063446747,0.052405861,0.136702064,0.240320883,0.079424377
3,Phyllospadix,Night,2,Before,Removal,Before_Removal,4,7/12/2019,04:36:00,3.96,33.1,15.4,0.800668,0.42559136,5.7765354,7.607389397,2153.216548,2198.490343,0.926208332,1434.21,8.94,1.81,1.180386609,0.927313048,1.809411186,1.583149214,0.042994564,0.050065115,0.042414167,0.065187262,0.046571699,0.017870898
4,Phyllospadix,Night,2,Before,Control,Before_Control,4,7/12/2019,04:38:00,3.05,33.2,15.4,0.5908155,0.35440704,8.4153366,7.476257882,2177.987115,2184.688265,0.694022535,1179.47,7.58,1.06,1.087675114,0.846812951,1.085011019,1.55365211,0.049187053,0.056660405,0.052093133,0.122228932,0.10423664,0.029825572
5,Phyllospadix,Night,2,Before,Control,Before_Control,4,7/12/2019,04:43:00,3.95,33.1,15.4,0.813582,0.8102896,6.9961494,7.425859195,2596.604411,2583.206133,0.73447808,1144.73,6.36,0.59,1.268770905,1.208963744,1.055128098,1.330626456,0.111756959,0.142699681,0.112470802,0.310211379,0.196879485,0.06589227
6,Phyllospadix,Night,2,Before,Removal,Before_Removal,4,7/12/2019,04:40:00,2.68,33.1,15.4,0.652157,0.36841672,7.6946556,7.375230386,2473.749877,2445.259902,0.621578398,730.31,3.01,0.62,1.026164679,1.394286485,1.958723885,1.773031138,0.202390025,0.289604887,0.282220674,0.449305604,0.293537958,0.087239715
7,Phyllospadix,Night,2,Before,Removal,Before_Removal,4,7/12/2019,04:48:00,2.94,33,15.5,2.092068,0.17568896,8.3488122,7.534721033,2435.481372,2460.418891,0.888606128,1978.88,12.77,1.44,1.040976065,0.893189302,1.49292675,1.668607065,0.099611042,0.116808353,0.112210412,0.239720474,0.178694791,0.059762203
8,Phyllospadix,Night,2,Before,Control,Before_Control,4,7/12/2019,04:50:00,3.14,33.3,15.2,1.530309,0.17720352,12.417888,7.457400629,2327.606179,2327.827383,0.705463957,1731.51,9.55,1.44,1.105689938,0.716998033,1.101992021,1.643197992,0.084113982,0.093401479,0.084473482,0.145432668,0.198791906,0.063093682
9,Mytilus,Night,2,Before,Control,Before_Control,4,7/12/2019,04:54:00,3.07,33.3,15.1,1.640078,1.779608,16.963722,7.404094474,2295.911878,2279.925898,0.611998582,1489.95,12.53,0.85,1.003879402,0.905928286,0.672113903,0.763475489,0.122857117,0.133132053,0.132617576,0.586321945,0.317373558,0.129790247
10,Mytilus,Night,2,Before,Removal,Before_Removal,4,7/12/2019,04:56:00,1.72,33.3,15.1,3.299527,4.0590208,26.05539,7.346830668,2331.427867,2298.574034,0.543325356,1363.05,10.2,0.64,1.080291051,0.917285608,1.140957177,1.697490973,0.080199607,0.095346548,0.088260055,0.236377859,0.176834643,0.043531585
11,Mytilus,Night,2,Before,Removal,Before_Removal,4,7/12/2019,04:58:00,2.59,33.3,15.1,1.769218,1.931064,21.62043,7.37705039,2133.445856,2112.351658,0.533782516,958.55,4.5,0.14,1.175306279,0.873496049,0.730542978,1.93096983,0.087370525,0.132369684,0.112625693,0.950145329,0.385458696,0.132795612
12,Mytilus,Night,2,Before,Control,Before_Control,4,7/12/2019,05:00:00,4.07,33.4,15.2,1.026663,2.2794128,13.748376,7.405683622,2095.46728,2083.067539,0.564049667,768.48,4.86,0.36,1.117034735,0.895255354,1.306047754,1.532188124,0.048276657,0.055718557,0.049880774,0.119813136,0.095309798,0.025110108
13,Mytilus,Night,2,Before,Control,Before_Control,4,7/12/2019,05:02:00,3.08,33.3,15.1,1.284943,2.4763056,14.635368,7.365659804,2139.873919,2114.874006,0.521263661,357.34,3.43,0.35,1.126468091,1.005110874,0.515944673,1.694994662,0.064602058,0.077366705,0.068680778,0.585786948,0.169881914,0.068182815
14,Mytilus,Night,2,Before,Control,Before_Control,4,7/12/2019,05:04:00,1.86,33.3,15,1.000835,2.1733936,14.524494,7.349795743,2186.999064,2155.677751,0.511111819,855.84,3.91,0.41,1.150836763,1.084928907,0.637877133,1.098983029,0.095356934,0.11616462,0.100939268,0.57694452,0.419893503,0.126411933
15,Mytilus,Night,2,Before,Removal,Before_Removal,4,7/12/2019,05:05:00,2.9,33.3,15,1.123518,0.7648528,8.6814342,7.420740557,2198.292388,2187.860387,0.60671034,1006.57,5,0.44,1.130710478,0.826414555,1.360804138,1.492693648,0.073409218,0.08161765,0.072182625,0.192765785,0.122608389,0.02235292
16,Mytilus,Night,2,Before,Removal,Before_Removal,4,7/12/2019,05:09:00,3.74,33.3,15.2,1.155803,4.16504,22.063926,7.419523258,2103.423114,2094.720623,0.583675852,826.2,2.08,0.32,1.177273782,1.399947644,0.754951111,1.553157628,0.116986022,0.174467338,0.148196062,0.724824059,0.426446933,0.124635615
Ocean,Ocean,Night,1,Before,Ocean,Before_Ocean,4,7/11/2019,03:46:00,8.4,33,14.9,0.0723184,0.71638688,8.8255704,7.978347826,1949.051642,2115.133384,1.87985878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Mytilus,Night,1,Before,Removal,Before_Removal,4,7/11/2019,04:26:00,3.36,33.5,14.6,2.653827,0.65959088,31.155594,7.29396386,2400.282371,2346.241807,0.48541023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Phyllospadix,Night,1,Before,Control,Before_Control,4,7/11/2019,04:29:00,3.74,33.4,14.7,1.026663,0.8178624,14.524494,7.388681573,2139.857019,2120.066503,0.542204151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Mytilus,Night,1,Before,Control,Before_Control,4,7/11/2019,04:23:00,3.13,33.4,14.5,3.028333,2.5293152,37.918908,7.310016118,2451.485215,2401.128211,0.511846182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Phyllospadix,Night,1,Before,Control,Before_Control,4,7/11/2019,04:21:00,3.14,33.4,14.4,1.394712,0.69063936,9.9564852,7.575970174,2213.940628,2247.403261,0.855706385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Phyllospadix,Night,1,Before,Removal,Before_Removal,4,7/11/2019,04:19:00,3.36,33.2,14.6,1.239744,0.39530016,9.8899608,7.46340647,2271.564888,2271.263559,0.679828689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Phyllospadix,Night,1,Before,Removal,Before_Removal,4,7/11/2019,04:17:00,4.1,33.4,14.7,2.021041,0.14918416,14.41362,7.455055559,2316.804402,2315.184121,0.685466085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Mytilus,Night,1,Before,Removal,Before_Removal,4,7/11/2019,04:12:00,2.62,33.3,14.6,0.910437,1.13592,19.846446,7.324028879,2221.61788,2180.089663,0.480542742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Mytilus,Night,1,Before,Removal,Before_Removal,4,7/11/2019,04:10:00,3.5,33.3,14.6,1.213916,2.3702864,20.400816,7.324031562,2095.359166,2057.40605,0.453235469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Mytilus,Night,1,Before,Control,Before_Control,4,7/11/2019,04:08:00,3.5,33.4,14.3,5.055831,1.8932,45.181155,7.356629748,2345.334282,2314.102822,0.542111579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Phyllospadix,Night,1,Before,Removal,Before_Removal,4,7/11/2019,04:04:00,2.56,33.2,14.6,1.588422,2.1885392,19.292076,7.478323854,2351.811907,2355.671645,0.72866578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Phyllospadix,Night,1,Before,Control,Before_Control,4,7/11/2019,04:02:00,3.46,33.3,14.5,1.80796,0.68458112,19.292076,7.452724299,2354.359825,2350.362949,0.68581137700000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Phyllospadix,Night,1,Before,Removal,Before_Removal,4,7/11/2019,03:59:00,1.86,33.3,14.5,0.891066,0.49298928,15.189738,7.448800217,2399.656675,2393.019124,0.692647876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Phyllospadix,Night,1,Before,Control,Before_Control,4,7/11/2019,03:58:00,3.57,33.3,14.6,1.2365155,0.14501912,4.8673686,7.475891982,2282.565225,2286.165842,0.704585813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Mytilus,Night,1,Before,Control,Before_Control,4,7/11/2019,03:55:00,3.7,33.3,14.6,3.564264,1.70388,32.70783,7.494742943,2508.366062,2518.546148,0.8088916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Mytilus,Night,1,Before,Control,Before_Control,4,7/11/2019,03:51:00,2.8,33.3,14.7,2.957306,14.464048,38.916774,7.417095412,2208.4647,2197.500894,0.596914639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Mytilus,Night,1,Before,Removal,Before_Removal,4,7/11/2019,03:50:00,3.46,33.3,14.7,2.163095,0.9238816,24.281406,7.46506668,2088.229977,2091.706326,0.631179007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocean,Ocean,Night,2,Before,Ocean,Before_Ocean,5,7/11/2019,04:34:00,8.57,32.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Phyllospadix,Night,2,Before,Control,Before_Control,5,7/11/2019,05:29:00,3.7,33.4,14.7,1.007292,1.1132016,16.187604,7.357721105,2168.456692,2139.031159,0.51092071,1314.42,5.44,0.32,1.271318625,1.044898577,0.810235276,1.687858934,0.067302571,0.088246761,0.069413567,0.220726309,0.177005397,0.078291464
19,Mytilus,Night,2,Before,Control,Before_Control,5,7/11/2019,05:15:00,3.16,33.5,14.5,3.919399,1.7190256,42.575616,7.240874962,2726.854453,2643.380319,0.484004272,1133.02,4.98,0.36,1.582288716,1.039517265,0.349217521,1.470598366,0.092046699,0.121085822,0.076525744,0.901765187,0.41108982,0.156085997
20,Phyllospadix,Night,2,Before,Control,Before_Control,5,7/11/2019,05:09:00,3.31,33.6,14.9,1.465739,0.40817392,15.300612,7.496592295,2262.39009,2274.547982,0.746010081,1651.63,11.93,1.49,1.255227186,1.391231812,0.905008606,1.496689208,0.099336517,0.143505968,0.114326689,0.43195712000000003,0.253487828,0.075089905
21,Phyllospadix,Night,2,Before,Removal,Before_Removal,5,7/11/2019,05:11:00,2.8,33.5,14.6,0.923351,3.1843624,14.857116,7.417998794,2312.14843,2298.022188,0.626081198,1185.47,5.89,0.26,1.269590682,0.838989341,0.872873084,1.21818959,0.078766852,0.088404469,0.069632261,0.29358858,0.174721796,0.074040415
22,Phyllospadix,Night,2,Before,Removal,Before_Removal,5,7/11/2019,05:25:00,3.72,33.5,14.7,2.64737,0.1400968,13.194006,7.413089771,2386.734157,2372.051855,0.641546546,2154.62,13.6,1.81,0.996885606,0.808691718,1.074380904,1.692849868,0.071087205,0.074777775,0.07501139,0.221533236,0.165655597,0.074419433
